Naslov,Leto_nagrade,Zvrst
Mockingjay,2010,Favorite Book of 2010
Room,2010,Fiction
The Girl Who Kicked the Hornet's Nest,2010,Mystery & Thriller
Towers of Midnight,2010,Fantasy
Dead in the Family,2010,Paranormal Fantasy
Feed,2010,Science Fiction
Lover Mine,2010,Romance
Fall of Giants,2010,Historical Fiction
Twilight,2010,Graphic Novels & Comics
Come on All You Ghosts,2010,Poetry
The Immortal Life of Henrietta Lacks,2010,Nonfiction
The Tudors,2010,History & Biography
Unbearable Lightness,2010,Memoir & Autobiography
Bite Me,2010,Humor
Before I Fall,2010,Young Adult Fiction
Mockingjay,2010,Young Adult Fantasy
The Ugly Truth,2010,Middle Grade & Children's Books
It's a Book,2010,Picture Books
The Immortal Life of Henrietta Lacks,2010,Debut Author
Spirit Bound,2010,Goodreads Author
Torment,2010,Favorite Heroine
Divergent,2011,Favorite Hero
1Q84,2011,Cover Art
Smokin' Seventeen,2011,Favorite Book of 2011
The Paris Wife,2011,Best Fiction
A Dance with Dragons,2011,Best Mystery & Thriller
Shadowfever,2011,Best Historical Fiction
11/22/63,2011,Best Fantasy
Graveminder,2011,Best Paranormal Fantasy
Lover Unleashed,2011,Best Science Fiction
Bossypants,2011,Best Horror
The Geeks Shall Inherit the Earth,2011,Best Romance
Steve Jobs,2011,Best Humor
Two Kisses for Maddy,2011,Best Nonfiction
My Father's Daughter,2011,Best History & Biography
Little Princes,2011,Best Memoir & Autobiography
Where She Went,2011,Best Food & Cooking
Divergent,2011,Best Travel & Outdoors
The Son of Neptune,2011,Best Young Adult Fiction
When I Grow Up,2011,Best Young Adult Fantasy & Science Fiction
Vampire Academy,2011,Best Middle Grade & Children's
Horoscopes for the Dead,2011,Best Picture Books
City of Fallen Angels,2011,Best Graphic Novels & Comics
The Casual Vacancy,2012,Best Poetry
Gone Girl,2012,Best Goodreads Author
The Light Between Oceans,2012,Fiction
Wild: From Lost to Found on the Pacific Crest Trail,2012,Mystery & Thriller
Elizabeth the Queen: The Life of a Modern Monarch,2012,Historical Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,2012,Fantasy
The Pioneer Woman Cooks: Food from My Frontier ,2012,Paranormal Fantasy
Let's Pretend This Never Happened: A Mostly True Memoir,2012,Science Fiction
"The Walking Dead, Vol. 16: A Larger World",2012,Romance
A Thousand Mornings,2012,Horror
The Fault in Our Stars,2012,Memoir & Autobiography
And the Mountains Echoed,2012,History & Biography
Life After Life,2012,Nonfiction
The Ocean at the End of the Lane,2012,Food & Cookbooks
Doctor Sleep,2012,Humor
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,2012,Graphic Novels & Comics
Jim Henson: The Biography,2012,Poetry
The Autistic Brain: Thinking Across the Spectrum,2012,Goodreads Author
Tequila Mockingbird: Cocktails with a Literary Twist,2012,Young Adult Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",2012,Young Adult Fantasy
Beautiful Creatures: The Manga,2013,Middle Grade & Children's
The Fall of Arthur,2013,Picture Books
Eleanor & Park,2013,Fiction
The Day the Crayons Quit,2013,Mystery & Thriller
Landline,2013,Historical Fiction
All the Light We Cannot See,2013,Fantasy
The Martian,2013,Paranormal Fantasy
Yes Please,2013,Science Fiction
The Opposite of Loneliness: Essays and Stories,2013,Romance
This Star Won't Go Out: The Life and Words of Esther Grace Earl,2013,Horror
The Romanov Sisters: The Lost Lives of the Daughters of Nicholas and Alexandra,2013,Memoir & Autobiography
#GIRLBOSS,2013,History & Biography
Make It Ahead: A Barefoot Contessa Cookbook,2013,Nonfiction
Lullabies,2013,Food & Cookbooks
We Were Liars,2013,Humor
The Pigeon Needs a Bath!,2013,Graphic Novels & Comics
