Vrstni_red,Naslov,Pisatelj,Leto_izdaje,Ocena
1,The Canterbury Tales,Geoffrey Chaucer,1390,3.47
2,The Divine Comedy,Dante Alighieri,1320,4.05
3,Inferno,Dante Alighieri,1304,3.98
4,The Decameron,Giovanni Boccaccio,1348,3.86
5,Sir Gawain and the Green Knight,Unknown,1390,3.68
6,Paradiso,Dante Alighieri,1321,3.93
7,The Romance of Tristan and Iseult,Joseph Bédier,1200,3.69
8,Purgatorio,Dante Alighieri,1320,4.01
9,Troilus and Criseyde,Geoffrey Chaucer,1385,3.77
10,Canzoniere: Selected Poems,Francesco Petrarca,1374,3.89
11,The Travels of Ibn Battutah,Ibn Battuta,1355,3.87
12,Libro de Buen Amor,Juan Ruiz (Arcipreste de Hita),1330,3.57
13,The Tale of the Heike,Anonymous,1371,3.89
14,Essays in Idleness: The Tsurezuregusa of Kenko,Yoshida Kenkō,1332,3.87
15,The Saga of King Hrolf Kraki,Anonymous,1350,4.06
16,Piers Plowman,William Langland,1360,3.38
16,Outlaws of the Marsh,Shi Nai'an,1370,4.12
18,The Divan,Hāfez,1380,4.63
19,Revelations of Divine Love,Julian of Norwich,1393,3.96
20,"Petrarch's Lyric Poems: The ""Rime Sparse"" and Other Lyrics",Francesco Petrarca,1368,4.14
21,Confessio Amantis,John Gower,1390,3.60
22,"Sir Gawain and the Green Knight, Pearl, Cleanness, Patience",Unknown,1400,4.06
23,"Trionfi, Rime Estravaganti, Codice Degli Abbozzi",Francesco Petrarca,1330,4.75
24,جامع التواریخ جلد 4 فهرست ها,رشیدالدین فضل‌الله همدانی,1994,3.31
24,The Spirit of Noh: A New Translation of the Classic Noh Treatise the Fushikaden,Zeami,1400,4.08
26,Vie de Saint Louis,Jean de Joinville,1309,3.67
1,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,1485,3.91
2,The Imitation of Christ,Thomas à Kempis,1418,4.18
3,The Mabinogion,Unknown,1200,3.95
4,Everyman and Other Miracle and Morality Plays,Anonymous,1490,3.29
5,The Book of the City of Ladies,Christine de Pizan,1405,3.74
